Accession,Serotype,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample
EU482641,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V704/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10677,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482642,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V705/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482643,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V706/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482644,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V707/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482645,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V708/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482646,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V709/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10660,complete,,,,Viet Nam: south,,Homo sapiens,blood,2006,
EU482647,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V710/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482648,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V711/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482649,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V712/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482650,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V713/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482651,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V714/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482652,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V715/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482653,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V716/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,blood,2006,
EU482654,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V717/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482655,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V718/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482656,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V719/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10673,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482657,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V720/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,blood,2006,
EU482658,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V721/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482659,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V722/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482660,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Nguyen,H.T., Wills,B., Le,L.B., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V723/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10666,complete,,,,Viet Nam: south,,Homo sapiens,blood,2006,
EU482661,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Tran,T.T., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V724/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482662,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Tran,T.T., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V725/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10669,complete,,,,Viet Nam: south,,Homo sapiens,blood,2006,
EU482663,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Tran,T.T., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V726/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482664,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Tran,T.T., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V727/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482665,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Tran,T.T., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V728/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10671,complete,,,,Viet Nam: south,,Homo sapiens,blood,2006,
EU482666,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Tran,T.T., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V729/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482667,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Tran,T.T., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V730/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10661,complete,,,,Viet Nam: south,,Homo sapiens,blood,2006,
EU482668,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Tran,T.T., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V731/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
EU482669,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Tran,T.T., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V732/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10665,complete,,,,Viet Nam: south,,Homo sapiens,blood,2006,
EU482670,2,,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Tran,T.T., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2008-03-04T00:00:00Z,DENV-2/VN/BID-V733/2006,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10678,complete,,,,Viet Nam: south,,Homo sapiens,,2006,
